id,question,option_a,option_b,option_c,option_d ,answer,tag
1,"Which of the following is the output for the following python code?

x = ['ab', 'cd']
for i in x:
    i.upper()
print(x)
"," [‘ab’, ‘cd’]"," [‘AB’, ‘CD’]"," [None, None]", none of the mentioned," [‘ab’, ‘cd’]",Python
2,"Which of the following is the output for the following python code?

x = ['ab', 'cd']
for i in x:
    x.append(i.upper())
print(x)"," [‘AB’, ‘CD’]"," [‘ab’, ‘cd’, ‘AB’, ‘CD’]"," [‘ab’, ‘cd’]", none of the mentioned, none of the mentioned,Python
3,"Which of the following is the output for the following python code?

i = 1
while True:
    if i%3 == 0:
        break
    print(i)

    i + = 1
", 1 2, 1 2 3, error, none of the mentioned, error,Python
4,"Which of the following is the output for the following python code?

i = 1
while True:
    if i%0O7 == 0:
        break
    print(i)
    i += 1
", 1 2 3 4 5 6, 1 2 3 4 5 6 7, error, none of the mentioned, 1 2 3 4 5 6,Python
5,"Which of the following is the output for the following python code?

i = 5
while True:
    if i%0O11 == 0:
        break
    print(i)
    i += 1
", 5 6 7 8 9 10, 5 6 7 8, 5 6, error, 5 6 7 8,Python
6,"Which of the following is the output for the following python code?

i = 5
while True:
    if i%0O9 == 0:
        break
    print(i)
    i += 1
", 5 6 7 8, 5 6 7 8 9, 5 6 7 8 9 10 11 12 13 14 15 …., error, error,Python
7,"Which of the following is the output for the following python code?

i = 1
while True:
    if i%2 == 0:
        break
    print(i)
    i += 2
",1, 1 2, 1 2 3 4 5 6 …, 1 3 5 7 9 11 …, 1 3 5 7 9 11 …,Python
8,"Which of the following is the output for the following python code?

i = 2
while True:
    if i%3 == 0:
        break
    print(i)
    i += 2
", 2 4 6 8 10 …, 2 4, 2 3, error, 2 4,Python
9,"Which of the following is the output for the following python code?

i = 1
while False:
    if i%2 == 0:
        break
    print(i)
    i += 2
",1, 1 3 5 7 …, 1 2 3 4 …, none of the mentioned, none of the mentioned,Python
10,"Which of the following is the output for the following python code?

True = False
while True:
    print(True)
    break
", True, False, None, none of the mentioned, none of the mentioned,Python
11,"Which of the following is the output for the following python code?

i = 0
while i < 5:
    print(i)
    i += 1
    if i == 3:
        break
else:
    print(0)
", 0 1 2 0, 0 1 2, error, none of the mentioned, 0 1 2,Python
12,"Which of the following is the output for the following python code?

i = 0
while i < 3:
    print(i)
    i += 1
else:
    print(0)
", 0 1 2 3 0, 0 1 2 0, 0 1 2, error, 0 1 2 0,Python
13,"Which of the following is the output for the following python code?

x = ""abcdef""
while i in x:
    print(i, end="" "")

", a b c d e f, abcdef, i i i i i i …, error, error,Python
14,"Which of the following is the output for the following python code?

x = ""abcdef""
i = ""i""
while i in x:
    print(i, end="" "")
", no output, i i i i i i …, a b c d e f, abcdef, no output,Python
15,"Which of the following is the output for the following python code?

x = ""abcdef""
i = ""a""
while i in x:
    print(i, end = "" "")
", no output, i i i i i i …, a a a a a a …, a b c d e f, a a a a a a …,Python
16,"Which of the following is the output for the following python code?

x = ""abcdef""
i = ""a""
while i in x:
    print('i', end = "" "")
", no output, i i i i i i …, a a a a a a …, a b c d e f, a a a a a a …,Python
17,"Which of the following is the output for the following python code?

x = ""abcdef""
i = ""a""
while i in x:
    x = x[:-1]
    print(i, end = "" "")
", i i i i i i, a a a a a a, a a a a a, none of the mentioned, a a a a a a,Python
18,"Which of the following is the output for the following python code?

x = ""abcdef""
i = ""a""
while i in x[:-1]:
    print(i, end = "" "")
", a a a a a, a a a a a a, a a a a a a …, a, a a a a a a …,Python
19,"Which of the following is the output for the following python code?

x = ""abcdef""
i = ""a""
while i in x:
    x = x[1:]
    print(i, end = "" "")
", a a a a a a, a, no output, error, a,Python
20,". Which of the following is the output for the following python code?

x = ""abcdef""
i = ""a""
while i in x[1:]:
    print(i, end = "" "")
", a a a a a a, a, no output, error, no output,Python
21,"Which of the following is the output for the following python code?

x = 'abcd'
for i in x:
    print(i)
    x.upper()
", a B C D, a b c d, A B C D, error, a b c d,Python
22,"Which of the following is the output for the following python code?

x = 'abcd'
for i in x:
    print(i.upper())

", a b c d, A B C D, a B C D, error, A B C D,Python
23,"Which of the following is the output for the following python code?

x = 'abcd'
for i in range(x):
    print(i)

", a b c d, 0 1 2 3, error, none of the mentioned, error,Python
24,"Which of the following is the output for the following python code?

x = 'abcd'
for i in range(len(x)):
    print(i)
", a b c d, 0 1 2 3, error, 1 2 3 4, 0 1 2 3,Python
25,"Which of the following is the output for the following python code?

x = 'abcd'
for i in range(len(x)):
    print(i.upper())
", a b c d, 0 1 2 3, error, 1 2 3 4, error,Python
26,"Which of the following is the output for the following python code?snippet?

x = 'abcd'
for i in range(len(x)):
    i.upper()
print (x)
", a b c d, 0 1 2 3, error, none of the mentioned, error,Python
27,"Which of the following is the output for the following python code?snippet?

x = 'abcd'
for i in range(len(x)):
    x[i].upper()
print (x)
", abcd, ABCD, error, none of the mentioned, abcd,Python
28,"Which of the following is the output for the following python code?snippet?

x = 'abcd'
for i in range(len(x)):
    i[x].upper()
print (x)
", abcd, ABCD, error, none of the mentioned, error,Python
29,"Which of the following is the output for the following python code?snippet?

x = 'abcd'
for i in range(len(x)):
    x = 'a'
    print(x)
", a, abcd abcd abcd, a a a a, none of the mentioned, a a a a,Python
30,". Which of the following is the output for the following python code?snippet?

x = 'abcd'
for i in range(len(x)):
    print(x)
    x = 'a'
", a, abcd abcd abcd abcd, a a a a, none of the mentioned, none of the mentioned,Python
31,"Which of the following is the output for the following python code?

x = 123
for i in x:
    print(i)

", 1 2 3,123, error, none of the mentioned, error,Python
32,"Which of the following is the output for the following python code?

d = {0: 'a', 1: 'b', 2: 'c'}
for i in d:
    print(i)
", 0 1 2, a b c, 0 a?1 b?2 c, none of the mentioned, 0 1 2,Python
33,"Which of the following is the output for the following python code?

d = {0: 'a', 1: 'b', 2: 'c'}
for x, y in d:
    print(x, y)
", 0 1 2, a b c, 0 a?1 b?2 c, none of the mentioned, none of the mentioned,Python
34,"Which of the following is the output for the following python code?

d = {0: 'a', 1: 'b', 2: 'c'}
for x, y in d.items():
    print(x, y)
",0 1 2,a b c,0 a?1 b?2 c,none of the mentioned,0 a?1 b?2 c,Python
35,"Which of the following is the output for the following python code?

d = {0: 'a', 1: 'b', 2: 'c'}
for x in d.keys():
    print(d[x])
", 0 1 2, a b c, 0 a?1 b?2 c, none of the mentioned, a b c,Python
36,"Which of the following is the output for the following python code?

d = {0: 'a', 1: 'b', 2: 'c'}
for x in d.values():
    print(x)
", 0 1 2, a b c, 0 a?1 b?2 c, none of the mentioned, a b c,Python
37,"Which of the following is the output for the following python code?

d = {0: 'a', 1: 'b', 2: 'c'}
for x in d.values():
    print(d[x])

", 0 1 2, a b c, 0 a?1 b?2 c, none of the mentioned, none of the mentioned,Python
38,"Which of the following is the output for the following python code?

d = {0, 1, 2}
for x in d.values():
    print(x)
", 0 1 2, None None None, error, none of the mentioned, error,Python
39,"Which of the following is the output for the following python code?

d = {0, 1, 2}
for x in d:
    print(x)
", 0 1 2," {0, 1, 2} {0, 1, 2} {0, 1, 2}", error, none of the mentioned, error,Python
40,". Which of the following is the output for the following python code?

d = {0, 1, 2}
for x in d:
    print(d.add(x))

", 0 1 2, 0 1 2 0 1 2 0 1 2 …, None None None, None of the mentioned, None None None,Python
41,". Which of the following is the output for the following python code?

for i in range(0):
    print(i)
",0, no output, error, none of the mentioned, no output,Python
42,"What will be the output of the following Python statement?

1. >>>""a""+""bc""
", a, bc, bca, abc, abc,Python
43,"What will be the output of the following Python statement?

1. >>>""abcd""[2:]
", a, ab, cd, dc, cd,Python
44,"What will be the output of the following Python statement?

1. >>>""abcd""[2:]
", a, ab, cd, dc, cd,Python
45,"What will be the output of the following Python statement?

1. >>>""abcd""[2:]
", a, ab, cd, dc, cd,Python
46,"What will be the output of the following Python statement?

1. >>>""abcd""[2:]
", a, ab, cd, dc, cd,Python
47,"What will be the output of the following Python statement?

1. >>>""abcd""[2:]
", a, ab, cd, dc, cd,Python
48,"What will be the output of the following Python statement?

1. >>>""abcd""[2:]
", a, ab, cd, dc, cd,Python
49,"What will be the output of the following Python statement?

1. >>>""abcd""[2:]
", a, ab, cd, dc, cd,Python
50,The output of executing string.ascii_letters can also be achieved by:, string.ascii_lowercase_string.digits, string.ascii_lowercase+string.ascii_uppercase, string.letters, string.lowercase_string.uppercase, string.ascii_lowercase+string.ascii_uppercase,Python
51,"Which of the following is the output for the following python code?snippet?

print('for'.isidentifier())
", True, False, None, Error, True,Python
52,"Which of the following is the output for the following python code?snippet?

print('abc'.islower())
", True, False, None, Error, True,Python
53,"Which of the following is the output for the following python code?snippet?

print('a@ 1,'.islower())
", True, False, None, Error, True,Python
54,"Which of the following is the output for the following python code?snippet?

print('11'.isnumeric())
", True, False, None, Error, True,Python
55,"Which of the following is the output for the following python code?snippet?

print('1.1'.isnumeric())
", True, False, None, Error, False,Python
56,"Which of the following is the output for the following python code?snippet?

print('1@ a'.isprintable())
", True, False, None, Error, True,Python
57,"Which of the following is the output for the following python code?snippet?

print(''''''.isspace())
", True, False, None, Error, False,Python
58,"Which of the following is the output for the following python code?snippet?

print('\t'.isspace())
", True, False, None, Error, True,Python
59,"Which of the following is the output for the following python code?snippet?

print('HelloWorld'.istitle())
", True, False, None, Error, False,Python
60,". Which of the following is the output for the following python code?snippet?

print('Hello World'.istitle())
", True, False, None, Error, True,Python
61,"Which of the following is the output for the following python code?

print('Hello!2@#World'.istitle())
", True, False, None, error, True,Python
62,"Which of the following is the output for the following python code?

print('1Rn@'.lower())
", n, 1rn@, rn, r, 1rn@,Python
63,"Which of the following is the output for the following python code?

print('''
 \tfoo'''.lstrip())
", \tfoo, foo, ??foo, none of the mentioned, foo,Python
64,"Which of the following is the output for the following python code?

print('xyyzxxyxyy'.lstrip('xyy'))
", error, zxxyxyy, z, zxxy, zxxyxyy,Python
65,"Which of the following is the output for the following python code?

print('xyxxyyzxxy'.lstrip('xyy'))
", zxxy, xyxxyyzxxy, xyxzxxy, none of the mentioned, zxxy,Python
66,"Which of the following is the output for the following python code?

print('cba'.maketrans('abc', '123'))
"," {97: 49, 98: 50, 99: 51}"," {65: 49, 66: 50, 67: 51}",321,123," {97: 49, 98: 50, 99: 51}",Python
67,"Which of the following is the output for the following python code?

print('a'.maketrans('ABC', '123'))
"," {97: 49, 98: 50, 99: 51}"," {65: 49, 66: 50, 67: 51}", {97: 49},1," {65: 49, 66: 50, 67: 51}",Python
68,"Which of the following is the output for the following python code?

print('abcdef'.partition('cd'))
"," (‘ab’, ‘ef’)", (‘abef’)," (‘ab’, ‘cd’, ‘ef’)",2," (‘ab’, ‘cd’, ‘ef’)",Python
69,"Which of the following is the output for the following python code?

print('abcdefcdgh'.partition('cd'))
"," (‘ab’, ‘cd’, ‘ef’, ‘cd’, ‘gh’)"," (‘ab’, ‘cd’, ‘efcdgh’)"," (‘abcdef’, ‘cd’, ‘gh’)", error," (‘ab’, ‘cd’, ‘efcdgh’)",Python
70,"Which of the following is the output for the following python code?snippet?

print('cd'.partition('cd'))
", (‘cd’), (”)," (‘cd’, ”, ”)"," (”, ‘cd’, ”)"," (”, ‘cd’, ”)",Python
71,"Which of the following is the output for the following python code?snippet?

print('abef'.partition('cd'))
", (‘abef’)," (‘abef’, ‘cd’, ”)"," (‘abef’, ”, ”)", error, error,Python
72,"Which of the following is the output for the following python code?snippet?

print('abcdef12'.replace('cd', '12'))
", ab12ef12, abcdef12, ab12efcd, none of the mentioned, ab12ef12,Python
73,"Which of the following is the output for the following python code?snippet?

print('abef'.replace('cd', '12'))
", abef,12, error, none of the mentioned, abef,Python
74,"Which of the following is the output for the following python code?snippet?

print('abcefd'.replace('cd', '12'))
", ab1ef2, abcefd, ab1efd, ab12ed2, abcefd,Python
75,"Which of the following is the output for the following python code?snippet?

print('xyyxyyxyxyxxy'.replace('xy', '12', 0))
", xyyxyyxyxyxxy, 12y12y1212x12, 12yxyyxyxyxxy, xyyxyyxyxyx12, xyyxyyxyxyxxy,Python
76,"Which of the following is the output for the following python code?snippet?

print('xyyxyyxyxyxxy'.replace('xy', '12', 100))
", xyyxyyxyxyxxy, 12y12y1212x12, none of the mentioned, error, 12y12y1212x12,Python
77,"Which of the following is the output for the following python code?snippet?

print('abcdefcdghcd'.split('cd'))
"," [‘ab’, ‘ef’, ‘gh’]"," [‘ab’, ‘ef’, ‘gh’, ”]"," (‘ab’, ‘ef’, ‘gh’)"," (‘ab’, ‘ef’, ‘gh’, ”)"," [‘ab’, ‘ef’, ‘gh’, ”]",Python
78,"Which of the following is the output for the following python code?snippet?

print('abcdefcdghcd'.split('cd', 0))
", [‘abcdefcdghcd’], ‘abcdefcdghcd’, error, none of the mentioned, [‘abcdefcdghcd’],Python
79,". Which of the following is the output for the following python code?snippet?

print('abcdefcdghcd'.split('cd', -1))
"," [‘ab’, ‘ef’, ‘gh’]"," [‘ab’, ‘ef’, ‘gh’, ”]"," (‘ab’, ‘ef’, ‘gh’)"," (‘ab’, ‘ef’, ‘gh’, ”)"," [‘ab’, ‘ef’, ‘gh’, ”]",Python
80,"Which of the following is the output for the following python code?snippet?

print('abcdefcdghcd'.split('cd', 2))
"," [‘ab’, ‘ef’, ‘ghcd’]"," [‘ab’, ‘efcdghcd’]"," [‘abcdef’, ‘ghcd’]", none of the mentioned," [‘ab’, ‘ef’, ‘ghcd’]",Python
81,"Which of the following is the output for the following python code?snippet?

print('ab\ncd\nef'.splitlines())
"," [‘ab’, ‘cd’, ‘ef’]"," [‘ab\n’, ‘cd\n’, ‘ef\n’]"," [‘ab\n’, ‘cd\n’, ‘ef’]"," [‘ab’, ‘cd’, ‘ef\n’]"," [‘ab’, ‘cd’, ‘ef’]",Python
82,"Which of the following is the output for the following python code?snippet?

print('Ab!2'.swapcase())
", AB!@, ab12, aB!2, aB1@, aB!2,Python
83,"Which of the following is the output for the following python code?snippet?

print('ab cd ef'.title())
", Ab cd ef, Ab cd eF, Ab Cd Ef, None of the mentioned, Ab Cd Ef,Python
84,"Which of the following is the output for the following python code?snippet?

print('ab cd-ef'.title())
", Ab cd-ef, Ab Cd-ef, Ab Cd-Ef, None of the mentioned, Ab Cd-Ef,Python
85,"Which of the following is the output for the following python code?snippet?

print('abcd'.translate('a'.maketrans('abc', 'bcd')))
", bcde, abcd, error, bcdd, bcdd,Python
86,"Which of the following is the output for the following python code?snippet?

print('abcd'.translate({97: 98, 98: 99, 99: 100}))
", bcde, abcd, error, none of the mentioned, none of the mentioned,Python
87,"Which of the following is the output for the following python code?snippet?

print('abcd'.translate({'a': '1', 'b': '2', 'c': '3', 'd': '4'}))
", abcd,1234, error, none of the mentioned, abcd,Python
88,"Which of the following is the output for the following python code?snippet?

print('ab'.zfill(5))
", 000ab, 00ab0, 0ab00, ab000, 000ab,Python
89,". Which of the following is the output for the following python code?snippet?

print('+99'.zfill(5))
", 00+99,99,99, +++99,99,Python
